Nimo domoródnych skupinow je so zaso rjad wukrajnych ansamblow přizjewił, tak z Ruskeje, Awstriskeje, Madźarskeje, Georgiskeje, Pólskeje, Peruwa, Boliwiskeje a Algeriskeje.	Neben den einheimischen Gruppen hat sich wieder eine Reihe von ausländischen Ensembles angemeldet, so aus Russland, Österreich, Ungarn, Georgien, Polen, Peru, Bolivien und Algerien.	1
Přeju dźensnišemu zarjadowanju strowy optimizm, kritiske zhladowanje na swójske dźěło a wuspěch při šěrokim přesadźenju našich předewzaćow na dobro našeje serbskeje maćeršćiny.	Ich wünsche der heutigen Veranstaltung einen gesunden Optimismus, eine kritische Betrachtung der eigenen Arbeit und Erfolg bei der breiten Umsetzung unserer Vorhaben zugunsten unserer sorbischen Muttersprache.	1
Wonkowne zastupnistwo euroruma by sej woprawdźe dołhe wujasnjenje zasłužiło, tola njech někotre krótke wuwjedźenja dosahaja.	Die Außenvertretung des Euroraumes würde in der Tat eine lange Erläuterung verdienen, doch mögen einige kurze Ausführungen genügen.	1
Čini ći wjeselo, so do róžka wróćo sćahnyć?	Macht es dir Spaß, dich in einen Winkel zurück ziehen?	1
Jara dobre tury zarjaduje Margaret River Regional Wine Centre.	Sehr gute Touren veranstaltet das Margaret River Regional Wine Centre.	1
Na wosebitym koncerće padaše sławnemu pianistej małka notowa cedlka na špundowanje dele.	Auf dem besonderen Konzert fiel dem berühmten Pianisten ein kleines Zettelchen auf den Fußboden herunter.	1
Snano su fyzikaliske zakonje w jednym druhim uniwersumje tak hinak, zo so nam wšitko tam dźiwne zda.	Vielleicht sind die physikalischen Gesetze in einem anderen Universum so anders, dass uns alles dort seltsam vorkommt.	1
Hdyž so wonaj rozmołwjataj, njemóžeš so přeco nutř měšeć.	Wenn sie sich unterhalten, kannst du dich nicht immer einmischen.	1
Sada je so tohodla tak dołha stała, dokelž mějach telko informacijow zaměstnić.	Der Satz ist deshalb so lang geworden, weil ich so viele Informationen unterbringen musste.	1
Wzmi sej papjeru a pisaki k molowanju a zapisowanju a dźi do přirody!	Nimm dir Papier und Stifte zum Malen und Eintragen und geh in die Natur!	1
Ja wotstajich awto na parkowanišću a wobkedźbowach chwilu wobchad.	Ich stellte das Auto auf dem Parkplatz ab und beobachtete eine Weile den Verkehr.	1
Larwy płuwaja přeco na tu stronu basenka, z kotrejež so swěca dopromjenjeni.	Die Larven schwimmen immer auf die Seite des Bassins, von der das Licht gestrahlt wird.	1
Praktiskemu přesadźenju do zawodneho wšědneho dnja so wosebita skedźbnosć wěnuje.	Der praktischen Umsetzung in den Betriebsalltag wird besondere Aufmerksamkeit gewidmet.	1
Z pěstowanjom tradicijow w dźěćacych dnjowych přebywanišćach runje tak kaž z kulturnopraktiskim dźěłom, chcedźa nas podpěrać.	Mit der Traditionspflege in den Kindertageseinrichtungen sowie mit kulturpraktischen Aktivitäten, wollen sie uns unterstützen.	1
Najwyši křesćanski swjedźeń padnje kóžde lěto na njedźelu po prěnim nalětnim połnym měsačku.	Das höchste christliche Fest fällt jedes Jahr auf den Sonntag nach dem ersten Frühlingsvollmond.	1
Wysoki niwow njewoznamjenja na kóždy pad to samsne kaž pawšalny škit.	Hohes Niveau ist nicht unbedingt gleichbedeutend mit pauschalem Schutz.	1
Subsidiarny princip a ekosocialne wične hospodarstwo stej rjadowansko-politiskej stołpaj wustawy.	Das Subsidiaritätsprinzip und die ökosoziale Marktwirtschaft sind zwei ordnungspolitische Grundpfeiler der Verfassung.	1
